кластер,количество,процент от общего,процент фишинга в кластере,доля фишинга от всего фишинга
0,518,4.685662596110357,96.13899613899613,10.167415271539404
1,1580,14.292175486205338,21.39240506329114,6.900775826868109
2,2285,20.669380370872908,3.588621444201313,1.6741527153940383
3,2420,21.890547263681594,99.7107438016529,49.26500612494896
4,1063,9.61555857078245,25.68203198494826,5.573703552470396
5,871,7.878787878787879,9.299655568312284,1.6537362188648428
6,1850,16.734509271822706,53.83783783783784,20.33483054307881
7,468,4.233378561736771,46.36752136752137,4.430379746835443
ИТОГО,11055,100.0,,100.0
